002,001,D,20000.000000,20000.000000,8-6-2020,$
002,002,D,1200.000000,21200.000000,8-6-2020,$
002,003,W,1200.000000,20000.000000,8-6-2020,$
002,004,W,200.000000,19800.000000,8-6-2020,$
002,005,D,5000.000000,24800.000000,8-6-2020,$
002,009,D,1500.000000,26300.000000,9-6-2020,$
003,01,D,1200.000000,1200.000000,08-06-2020,$
003,002,W,100.000000,1100.000000,06-08-2020,$
03,01,D,1100.000000,1100.000000,9-6-2020,$
03,001,D,5000.000000,6100.000000,9-6-2020,$
03,002,D,12000.000000,18100.000000,9-6-2020,$
003,004,W,9.000000,1091.000000,6-2020,$
003,005,W,91.000000,1000.000000,9-8-2020,$
01,01,D,1100.000000,1100.000000,9-6-2020,$
